,taxon_name_w_authors,202112_accepted_name_w_author,202207_taxon_name_w_authors,202207_chained_accepted_name_w_author,202207_chained_accepted_species,202207_direct_accepted_name_w_author,202207_direct_accepted_species,202207_chained_accepted_genus,202207_direct_accepted_genus
135887,Aeschynomene incana Vogel,Aeschynomene histrix var. incana (Vogel) Benth. in Mart.,Aeschynomene histrix var. incana (Vogel) Benth. in Mart.,Aeschynomene histrix var. incana (Vogel) Benth. in Mart.,Aeschynomene histrix,Desmodium incanum (G.Mey.) DC.,Desmodium incanum,Aeschynomene,Desmodium
153019,Astragalus somcheticus K.Koch,Astragalus polygala Pall.,Astragalus polygala Pall.,Astragalus polygala Pall.,Astragalus polygala,Astragalus somcheticus K.Koch,Astragalus somcheticus,Astragalus,Astragalus
153124,Padbruggea filipes (Dunn) Craib,Afgekia filipes (Dunn) R.Geesink,Afgekia filipes (Dunn) R.Geesink,Afgekia filipes (Dunn) R.Geesink,Afgekia filipes,Padbruggea filipes (Dunn) Craib,Padbruggea filipes,Afgekia,Padbruggea
153580,Adenocarpus argyrophyllus (Rivas Goday) Rivas Mart.,Adenocarpus hispanicus subsp. argyrophyllus (Rivas Goday) Rivas Goday,Adenocarpus hispanicus subsp. argyrophyllus (Rivas Goday) Rivas Goday,Adenocarpus hispanicus subsp. argyrophyllus (Rivas Goday) Rivas Goday,Adenocarpus hispanicus,Adenocarpus argyrophyllus (Rivas Goday) Rivas Mart.,Adenocarpus argyrophyllus,Adenocarpus,Adenocarpus
156851,Astragalus supervisus (Kuntze) E.Sheld.,Astragalus latifolius subsp. candolleanus Ponert,Astragalus latifolius subsp. candolleanus Ponert,Astragalus latifolius subsp. candolleanus Ponert,Astragalus latifolius,Astragalus supervisus (Kuntze) E.Sheld.,Astragalus supervisus,Astragalus,Astragalus
158509,Astragalus psiloglottis DC.,Astragalus oxyglottis Steven ex M.Bieb.,Astragalus oxyglottis Steven ex M.Bieb.,Astragalus oxyglottis Steven ex M.Bieb.,Astragalus oxyglottis,Astragalus psiloglottis DC.,Astragalus psiloglottis,Astragalus,Astragalus
161075,Lotus glacialis (Boiss.) Pau,Lotus corniculatus subsp. glacialis (Boiss.) Valdés,Lotus corniculatus subsp. glacialis (Boiss.) Valdés,Lotus corniculatus subsp. glacialis (Boiss.) Valdés,Lotus corniculatus,Lotus glacialis (Boiss.) Pau,Lotus glacialis,Lotus,Lotus
161295,Argyrolobium pauciflorum (M.Bieb. ex Willd.) Hayek,Argyrolobium biebersteinii P.W.Ball,Argyrolobium biebersteinii P.W.Ball,Argyrolobium biebersteinii P.W.Ball,Argyrolobium biebersteinii,Argyrolobium pauciflorum (M.Bieb. ex Willd.) Hayek,Argyrolobium pauciflorum,Argyrolobium,Argyrolobium
165561,Cynometra polyandra Roxb.,Maniltoa polyandra (Roxb.) Harms,Maniltoa polyandra (Roxb.) Harms,Maniltoa polyandra (Roxb.) Harms,Maniltoa polyandra,Cynometra polyandra Roxb.,Cynometra polyandra,Maniltoa,Cynometra
166942,Pongamia pinnata (L.) Pierre,Millettia pinnata (L.) Panigrahi,Millettia pinnata (L.) Panigrahi,Millettia pinnata (L.) Panigrahi,Millettia pinnata,Pongamia pinnata (L.) Pierre,Pongamia pinnata,Millettia,Pongamia
170608,Brachypterum scandens (Roxb.) Miq.,Derris scandens (Roxb.) Benth.,Derris scandens (Roxb.) Benth.,Derris scandens (Roxb.) Benth.,Derris scandens,Brachypterum scandens (Roxb.) Miq.,Brachypterum scandens,Derris,Brachypterum
172814,Astragalus permiensis C.A.Mey. ex Rupr.,Astragalus helmii Fisch. ex DC.,Astragalus helmii Fisch. ex DC.,Astragalus helmii Fisch. ex DC.,Astragalus helmii,Astragalus permiensis C.A.Mey. ex Rupr.,Astragalus permiensis,Astragalus,Astragalus
174327,Vicia orientalis (Boiss.) Bég. & Diratz.,Lens orientalis (Boiss.) Schmalh.,Lens orientalis (Boiss.) Schmalh.,Lens orientalis (Boiss.) Schmalh.,Lens orientalis,Vicia orientalis (Boiss.) Bég. & Diratz.,Vicia orientalis,Lens,Vicia
176774,Lotus subbiflorus Lag.,Lotus hispidus Desf. ex DC.,Lotus hispidus Desf. ex DC.,Lotus hispidus Desf. ex DC.,Lotus hispidus,Lotus subbiflorus Lag.,Lotus subbiflorus,Lotus,Lotus
176937,Alhagi pseudalhagi (M.Bieb.) Fisch.,Alhagi maurorum Medik.,Alhagi maurorum Medik.,Alhagi maurorum Medik.,Alhagi maurorum,Alhagi pseudalhagi (M.Bieb.) Fisch.,Alhagi pseudalhagi,Alhagi,Alhagi
177221,Vicia lens (L.) Coss. & Germ.,Lens culinaris Medik.,Lens culinaris Medik.,Lens culinaris Medik.,Lens culinaris,Vicia lens (L.) Coss. & Germ.,Vicia lens,Lens,Vicia
177407,Trigonella esculenta Willd.,Trigonella corniculata Sm.,Trigonella corniculata Sm.,Trigonella corniculata Sm.,Trigonella corniculata,Trigonella esculenta Willd.,Trigonella esculenta,Trigonella,Trigonella
177450,Trifolium clusii Gren. & Godr.,Trifolium resupinatum var. resupinatum L.,Trifolium resupinatum var. resupinatum L.,Trifolium resupinatum var. resupinatum L.,Trifolium resupinatum,Trifolium clusii Gren. & Godr.,Trifolium clusii,Trifolium,Trifolium
178094,Coronilla varia L.,Securigera varia (L.) Lassen,Securigera varia (L.) Lassen,Securigera varia (L.) Lassen,Securigera varia,Coronilla varia L.,Coronilla varia,Securigera,Coronilla
178369,Trifolium multistriatum W.D.J.Koch,Trifolium vesiculosum Savi,Trifolium vesiculosum Savi,Trifolium vesiculosum Savi,Trifolium vesiculosum,Trifolium multistriatum W.D.J.Koch,Trifolium multistriatum,Trifolium,Trifolium
178693,Vicia lenticula (Hoppe) Janka,Lens ervoides (Brign.) Grande,Lens ervoides (Brign.) Grande,Lens ervoides (Brign.) Grande,Lens ervoides,Vicia lenticula (Hoppe) Janka,Vicia lenticula,Lens,Vicia
178697,Lathyrus oleraceus Lam.,Pisum sativum L.,Pisum sativum L.,Pisum sativum L.,Pisum sativum,Lathyrus oleraceus Lam.,Lathyrus oleraceus,Pisum,Lathyrus
178852,Astragalus pseudotataricus Boriss.,Astragalus subuliformis DC.,Astragalus subuliformis DC.,Astragalus subuliformis DC.,Astragalus subuliformis,Astragalus pseudotataricus Boriss.,Astragalus pseudotataricus,Astragalus,Astragalus
179074,Trifolium setiferum Boiss.,Trifolium vesiculosum Savi,Trifolium vesiculosum Savi,Trifolium vesiculosum Savi,Trifolium vesiculosum,Trifolium setiferum Boiss.,Trifolium setiferum,Trifolium,Trifolium
543019,Coronilla dura (Cav.) Boiss.,Coronilla repanda subsp. dura (Cav.) Cout.,Coronilla repanda subsp. dura (Cav.) Cout.,Coronilla repanda subsp. dura (Cav.) Cout.,Coronilla repanda,Coronilla dura (Cav.) Boiss.,Coronilla dura,Coronilla,Coronilla
916842,Chamaecytisus proteus (Zumagl.) Holub,Cytisus proteus Zumagl.,Cytisus proteus Zumagl.,Cytisus proteus Zumagl.,Cytisus proteus,Chamaecytisus proteus (Zumagl.) Holub,Chamaecytisus proteus,Cytisus,Chamaecytisus
916851,Chamaecytisus × pseudorochelii (Simonk.) Pifkó,Cytisus pseudorochelii Simonk.,Cytisus pseudorochelii Simonk.,Cytisus pseudorochelii Simonk.,Cytisus pseudorochelii,Chamaecytisus × pseudorochelii (Simonk.) Pifkó,Chamaecytisus pseudorochelii,Cytisus,Chamaecytisus
933715,Dioclea lasiophylla Mart. ex Benth.,Dioclea guianensis Benth.,Dioclea guianensis Benth.,Dioclea guianensis Benth.,Dioclea guianensis,Dioclea lasiophylla Mart. ex Benth.,Dioclea lasiophylla,Dioclea,Dioclea
1137801,Acmispon intricatus (Eastw.) Brouillet,Ottleya intricata (Eastw.) D.D.Sokoloff,Ottleya intricata (Eastw.) D.D.Sokoloff,Ottleya intricata (Eastw.) D.D.Sokoloff,Ottleya intricata,Acmispon intricatus (Eastw.) Brouillet,Acmispon intricatus,Ottleya,Acmispon
1137815,Acmispon oroboides (Kunth) Brouillet,Ottleya oroboides (Kunth) D.D.Sokoloff,Ottleya oroboides (Kunth) D.D.Sokoloff,Ottleya oroboides (Kunth) D.D.Sokoloff,Ottleya oroboides,Acmispon oroboides (Kunth) Brouillet,Acmispon oroboides,Ottleya,Acmispon
1174701,Phanera harmsiana (Hosseus) Bandyop. & Ghoshal,Lasiobema harmsianum (Hosseus) de Wit,Lasiobema harmsianum (Hosseus) de Wit,Lasiobema harmsianum (Hosseus) de Wit,Lasiobema harmsianum,Phanera harmsiana (Hosseus) Bandyop. & Ghoshal,Phanera harmsiana,Lasiobema,Phanera
1221647,Brachypterum (Wight & Arn.) Benth.,Derris Lour.,Derris Lour.,Derris Lour.,,Brachypterum (Wight & Arn.) Benth.,,Derris,Brachypterum
1235752,Pongamia Adans.,Millettia Wight & Arn.,Millettia Wight & Arn.,Millettia Wight & Arn.,,Pongamia Adans.,,Millettia,Pongamia
